class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
1,2.52317880794702,1,0,10,0,0,0,0.0,139.07,43.866655488337024,-4.228379415630831,4.899909730850478,0.0,0.0,0.0,3,0,0,0
1,2.6911764705882355,1,0,11,0,0,0,0.0,134.07,45.95972919478108,-4.081817333024281,4.899909730850478,0.0,0.0,0.0,3,0,0,0
1,2.5,1,0,9,0,0,0,0.0,26.08,42.97476658535053,-5.019203846848462,4.899909730850478,0.0,0.0,0.0,2,0,0,0
0,2.951739618406285,1,0,4,0,0,1,0.0,20.06,34.541445594799455,-4.199430716596491,4.794537184071822,0.0,5.687386274683562,0.0,1,0,0,0
0,2.265486725663717,1,0,2,0,0,1,0.0,20.07,37.06414675167793,-4.115237254189442,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,3.1841704718417048,1,0,2,0,0,1,0.0,18.07,35.30209652885091,-3.506474121955195,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,2.767605633802817,1,0,10,0,0,0,0.0,139.08,44.64706480370112,-3.2648383422409992,4.899909730850478,0.0,0.0,0.0,3,0,0,0
1,2.8771929824561404,1,0,6,0,0,0,0.0,70.07,38.39690292538684,-3.493090954269797,0.0,0.0,0.0,0.0,2,0,0,0
1,2.841666666666667,1,0,7,0,0,0,0.0,73.07,40.312119236396846,-3.889997703023431,4.899909730850478,0.0,0.0,0.0,2,0,0,0
0,3.124497991967872,1,0,2,0,0,1,0.0,19.06,32.99529569235118,-2.414427708786615,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,2.8174603174603177,1,0,8,0,0,0,0.0,26.08,45.44199727417072,-4.882823846848462,4.899909730850478,0.0,0.0,0.0,2,0,0,0
0,2.690265486725664,2,0,6,1,0,1,0.0,67.08,36.39536655164456,-3.3304748000959417,10.114318268765572,0.0,0.0,4.923311048817671,2,0,0,0
0,1.945821854912764,1,0,4,0,0,1,0.0,21.07,39.52173883062588,-5.391019134394576,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,1.8232323232323235,0,1,10,0,1,1,0.0,212.07,45.84106755315466,-4.103631311395612,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,1.85,0,1,8,0,1,1,0.0,134.05,44.60439908285763,-5.148580993889882,4.899909730850478,0.0,10.481923458755384,0.0,3,0,1,0
1,2.0166666666666666,0,1,8,0,1,1,0.0,198.07,42.71159988876127,-3.3171489510227388,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
